,0,Datas,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
43,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Lucros e Receitas a Apropriar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Participação dos Acionistas Não Controladores,2808929.024,2843098.88,3168431.104,3279552,3435501.056,3622700.032,3670388.992,4348107.776,4671165.952,4729303.04,4860402.176,6461215.744,6856433.152,6777720.832,7223895.04,8259373.056,8907774.976,3322349.056,3682544.896,3186939.904,3150278.912,2749019.904,3407503.104,3776259.072,3135394.048,3218530.048,3096316.928,3245026.048,3079984.896,3115109.888,3036422.912,3214969.088,4626467.84,4107403.008,4286925.056,4208859.904,4167152.128,5715051.008,5793199.104,5807426.048,4598840.832,4478132.224
46,Patrimônio Líquido,174897112.32,163139207.424,165091628.032,170402628.096,163258051.072,161715158.016,148556074.752,143757534.208,142560094.72,133884596.224,133190067.712,127240522.752,128933634.56,126373130.24,130758351.872,131160209.408,167889478.656,151406705.152,151319532.288,146414675.968,152205315.84,147796068.608,150247727.36,148345805.824,165456326.4,156662505.728,153421575.168,152388195.584,163507480.832,157500895.744,149112462.592,143475406.592,141060174.848,130442584.32,122698102.528,112118007.04,114226020.352,105612173.312,100005855.232,95736979.456,97165312,94559387.648
47,Capital Social Realizado,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,77299998.72,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,74999996.416,49999998.976,49999998.976,49999998.976,49999998.976,47434190.848,47434190.848,47434190.848,47434190.848
48,Reservas de Capital,-2665196.032,-2714714.112,969374.016,969374.016,1020142.016,1020142.016,1020142.016,1020142.016,1003148.992,-2148090.112,-2149443.072,-1820571.008,-1822889.984,-1826870.016,-1831233.024,-1831233.024,-257176.992,-933462.976,-925022.976,-919820.992,-789636.992,-789636.992,-789636.992,-789636.992,-789636.992,-789636.992,-789636.992,-789636.992,-454391.008,-458168.992,1030531.968,1085105.024,2010715.008,2077331.968,3977716.992,3993820.928,4022690.048,3337657.088,4426240,4426240,4426240,2903062.016
49,Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Reservas de Lucros,39615377.408,39664893.952,35980767.232,35896254.464,19852984.32,21792299.008,21792299.008,21792299.008,8886843.392,8886843.392,10951348.224,10951348.224,1099112.96,1099112.96,1099112.96,1099112.96,47236648.96,47236648.96,50337751.04,50337751.04,54489726.976,54489726.976,61422116.864,61422116.864,70611673.088,70611673.088,70611673.088,70611673.088,70266478.592,70266478.592,68187455.488,68187447.296,41208877.056,44529000.448,67661791.232,67661791.232,43784744.96,45271556.096,46801510.4,46801510.4,39925161.984,39923724.288
51,Lucros/Prejuízos Acumulados,-264476.992,-6806121.984,-6421965.824,0,3426400,5367436.8,5045203.968,0,15094423.552,7951437.824,7891112.96,0,11738179.584,9895999.488,6310976,0,-11057929.216,-4394919.936,-9538425.856,0,5714640.896,9096027.136,5908759.04,0,10678005.76,2728506.112,6349189.12,0,12088250.368,8760166.4,6720399.872,0,24604377.088,21566341.12,11290983.424,0,25968877.568,15577762.816,8780408.832,0,7620855.808,4617554.944
52,Ajustes de Avaliação Patrimonial,-6990931.968,-6667408.896,-5616174.08,-5516982.784,-5249020.928,-6371152.896,-3856896,-3913317.888,-4240483.072,-5244976.128,-3251015.936,-1072139.008,-4187105.024,-4068189.952,-4632219.136,-3873062.912,-4652679.168,-4083597.056,-4961795.072,-4553334.784,-2698093.056,-2449901.056,-2757242.112,-2815532.032,-4713648.128,-5034563.072,-4235025.92,-1126627.968,-1056190.016,-1089328,233044.992,219556,470305.984,212418,-15554,-25383,-9550286.848,-8574800.896,-7436500.992,-2924972.032,-2241135.104,-319151.008
53,Ajustes Acumulados de Conversão,67902345.216,62362562.56,62879633.408,61753974.784,66907537.408,62606426.112,47255314.432,47558406.144,44516167.68,47139393.536,42448052.224,41881882.624,44806332.416,43973079.04,52511707.136,58465398.784,59320602.624,36282044.416,39107031.04,24250087.424,18188679.168,10149861.376,11463736.32,15528859.648,14669939.712,14146537.472,6485369.856,8692782.08,7663344.128,5021746.176,-2058977.024,-1016710.976,-2234096.128,-12942515.2,-10216841.216,-9512224.768,0,0,0,0,0,0
54,Outros Resultados Abrangentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
